ID,Title,Estimate (h),Start,Due,Status,Labels,Assignees,Milestone
A1,WhatsApp channel setup,5.0,2025-10-02,2025-10-02,Todo,"MVP,WhatsApp",,MVP Pilot
A2,Conversation flow – Sell,10.0,2025-10-03,2025-10-04,Todo,"MVP,WhatsApp",,MVP Pilot
A3,Conversation flow – Repair,9.0,2025-10-03,2025-10-04,Todo,"MVP,WhatsApp",,MVP Pilot
A4,Data model (Sheets/Airtable),7.0,2025-10-03,2025-10-04,Todo,"MVP,WhatsApp",,MVP Pilot
A5,Offer Engine v1 (rules),15.0,2025-10-05,2025-10-07,Todo,"MVP,WhatsApp",,MVP Pilot
A6,Media handling (photos),3.5,2025-10-05,2025-10-05,Todo,"MVP,WhatsApp",,MVP Pilot
A7,Ticketing (ID+QR),7.0,2025-10-05,2025-10-06,Todo,"MVP,WhatsApp",,MVP Pilot
A8,Ops dashboard (queues/approvals),14.0,2025-10-08,2025-10-10,Todo,"MVP,WhatsApp",,MVP Pilot
A9,Runner mobile form (scan/verify/pay),10.0,2025-10-07,2025-10-08,Todo,"MVP,WhatsApp",,MVP Pilot
A10,Notifications (reminders/nearby),7.0,2025-10-07,2025-10-08,Todo,"MVP,WhatsApp",,MVP Pilot
T1,Flow happy paths (EN + 1 local),5.0,2025-10-08,2025-10-08,Todo,"MVP,WhatsApp",,MVP Pilot
T2,Edge cases (no photos/low signal),4.0,2025-10-09,2025-10-09,Todo,"MVP,WhatsApp",,MVP Pilot
T3,Ops & Runner E2E,5.0,2025-10-11,2025-10-11,Todo,"MVP,WhatsApp",,MVP Pilot
T4,POPIA checks (consent/masking),1.5,2025-10-09,2025-10-09,Todo,"MVP,WhatsApp",,MVP Pilot
D1,Credentials & environment rotation,2.5,2025-10-10,2025-10-10,Todo,"MVP,WhatsApp",,MVP Pilot
D2,Pilot rollout (areas/poster mapping),2.5,2025-10-12,2025-10-12,Todo,"MVP,WhatsApp",,MVP Pilot
D3,Monitoring/runbooks in n8n/Make,2.5,2025-10-11,2025-10-11,Todo,"MVP,WhatsApp",,MVP Pilot
